73,369995
82,89
0,04
9,79
0,01
16,64
0,01
0,01
43,13
0,01
63,79
75,73
0,01
103,46
0,01
134,2
0,02
0,01
189,6
200,19
0,01
0,01
0,01
264,53
0,02
0,02
349,36
349,16
0,05
351,5
231,79
0,01
0,01
266,29
280,75
294,23
0,030000001
0,01
550,35
0,02
509,13
0,05
897,92004
0,02
0,01
260,66
0,01
0,01
0,01
312,28
0,02
338,14
0,01
0,01
0
389,13
0,02
0
1113,94
743,82
595,63
0,02
0,01
518,35
0,02
0,01
598,26996
556,54004
0,030000001
565,77
572,35
592,91003
716,02
630,48
632,7
693,80005
0,02
0,01
0,01
844,83
747,36
0,030000001
751,4
0,01
835,11
838,28
820,18005
834,56
1016,81995
873,41003
0,030000001
0,02
921,41
1027,44
939,62
0,030000001
0,01
0,02
1063,8099
1168,1799
1084,7101
0,02
0,02
0,01
1177,8301
0,02
0,01
1331,6901
1281,98
0,04
0,01
1396,4401
1492,3
0,030000001
0,01
0,01
1454,83
1572,6599
0,02
0,02
1607,5399
1702,5499
0,02
0,01
0,01
1709,81
0,030000001
0,01
0,02
0,02
0,01
1935,12
1948,74
0,02
0,01
2104,35
0,02
2053,99
0,02
0,01
2204,15
2280,23
2307,99
2211,84
0,02
0,01
2382,54
2354,25
2513
0,04
2392,02
0,030000001
2580,1
2552,68
2668,3901
0,030000001
2662,96
2841,3
3254,19
0,1
0,02
0,01
2978,47
2905,98
3030,5
3006,91
3106,6401
0,030000001
0,030000001
0,01
0,02
3165,8398
3333,95
3318,0303
0,030000001
3492,4
0,030000001
0,02
0,02
3503,98
0,02
3728,64
3666,9
0,030000001
0,02
0,02
0,02
0,01
4077,61
3939,69
4092,81
0,030000001
0,01
0,01
4167,29
0,030000001
4294,07
4296,57
4416,1
4323,45
0,04
4511,09
4499,5
4536,54
0,04
4608,04
0,04
0,02
0,02
4897,9697
5846,19
0,1
0,02
0,02
5781,79
6284,13
5439,84
0,030000001
0,02
0,02
5333,16
0,030000001
0,030000001
0,02
0,02
0,02
0,01
0,02
0,02
0,02
0,02
6029,65
6284,3896
6183,4097
6103,38
6221,2603
6479,9697
0,04
0,030000001
0,030000001
6716,7603
6468,4897
0,07
0,02
0,02
0,02
0,02
0,02
6920,58
0,060000002
0,02
7403,9297
7478,14
0,05
0,030000001
0,02
0,02
0,02
0,02
0,02
